"year","ubigeo","enfermedad","n","pop_landscan","malaria_incidence"
2014,"160801",1,41,3980.8,10.2994372990354
2014,"160803",0,7,3665.2,1.90985485103132
2015,"160101",0,1735,197757.5,8.77337142712666
2015,"160101",1,237,197757.5,1.19843748024727
2015,"160102",0,1903,6693.8,284.29292778392
2015,"160102",1,459,6693.8,68.5709163703726
2015,"160103",0,170,4763.3,35.6895429639116
2015,"160103",1,9,4763.3,1.88944639220708
2015,"160104",0,209,3964.3,52.7205307368262
2015,"160104",1,8,3964.3,2.01801074590722
2015,"160105",0,151,2841.5,53.1409466830899
2015,"160105",1,7,2841.5,2.46348759458033
2015,"160106",0,1507,3875.9,388.812920869992
2015,"160106",1,178,3875.9,45.9248174617508
2015,"160107",0,3161,8904.3,354.997023909796
2015,"160107",1,1188,8904.3,133.418685354267
2015,"160108",0,1511,108114,13.9759883086372
2015,"160108",1,358,108114,3.31131953308545
2015,"160110",0,1157,2816.7,410.76436965243
2015,"160110",1,22,2816.7,7.81055845492953
2015,"160112",0,576,29834.5,19.3065075667432
2015,"160112",1,42,29834.5,1.40776617674169
2015,"160113",0,7217,127094.3,56.7846079643226
2015,"160113",1,800,127094.3,6.29453877947319
2015,"160201",0,243,64516.5,3.76647834274953
2015,"160201",1,2,64516.5,0.0309998217510249
2015,"160202",0,456,2311.2,197.30010384216
2015,"160202",1,1,2311.2,0.432675666320526
2015,"160205",0,15,6443.4,2.32796349753236
2015,"160205",1,3,6443.4,0.465592699506472
2015,"160206",0,218,18031.6,12.0898866434482
2015,"160206",1,110,18031.6,6.10040151733623
2015,"160210",0,2,2265.2,0.88292424509977
2015,"160210",1,1,2265.2,0.441462122549885
2015,"160211",0,6,5030.3,1.19277180287458
2015,"160301",0,3117,16894.3,184.500097666077
2015,"160301",1,180,16894.3,10.6544810971748
2015,"160302",0,87,5833.9,14.9128370386877
2015,"160302",1,52,5833.9,8.91341983921562
2015,"160303",0,3067,11175.7,274.434711024813
2015,"160303",1,1712,11175.7,153.189509381963
2015,"160304",0,2664,21277.4,125.203267316495
2015,"160304",1,1109,21277.4,52.1210298250726
2015,"160305",0,1635,6773.2,241.392547097384
2015,"160305",1,373,6773.2,55.069981692553
2015,"160401",0,3805,12715.7,299.236377077157
2015,"160401",1,557,12715.7,43.8041161713472
2015,"160402",0,778,12956.9,60.0452268675378
2015,"160402",1,68,12956.9,5.24816892929636
2015,"160403",0,2188,12855.5,170.199525494924
2015,"160403",1,656,12855.5,51.0287425615495
2015,"160404",0,328,14335.2,22.8807411127853
2015,"160404",1,41,14335.2,2.86009263909816
2015,"160501",0,94,16823.9,5.58728951075553
2015,"160501",1,1,16823.9,0.0594392501144206
2015,"160502",0,165,3052.7,54.0505126609231
2015,"160502",1,110,3052.7,36.0336751072821
2015,"160503",0,2,1429.8,1.39879703455029
2015,"160503",1,2,1429.8,1.39879703455029
2015,"160504",0,2,5250.4,0.380923358220326
2015,"160505",0,5,5270.7,0.948640598023033
2015,"160506",0,7,2974.5,2.3533366952429
2015,"160507",0,39,1137.4,34.2887286794443
2015,"160508",0,234,4150.2,56.3828249241
2015,"160508",1,20,4150.2,4.8190448653077
2015,"160509",0,23,1230.5,18.6915887850467
2015,"160510",0,23,5487,4.19172589757609
2015,"160510",1,1,5487,0.182248952068526
2015,"160511",0,609,5675.2,107.308993515647
2015,"160511",1,47,5675.2,8.2816464617987
2015,"160601",0,5,27797.6,0.179871643595131
2015,"160602",0,1,1025.7,0.974943940723408
2015,"160604",0,1,5191.4,0.192626266517702
2015,"160605",0,1,18855.1,0.0530360486022349
2015,"160606",0,1,5871.3,0.170320031338886
2015,"160701",0,313,11494.3,27.2308883533578
2015,"160701",1,7,11494.3,0.608997503110237
2015,"160702",0,296,3012.4,98.2605231708936
2015,"160702",1,3,3012.4,0.995883680786084
2015,"160703",0,362,9702.5,37.3099716567895
2015,"160704",0,377,6724.9,56.060313164508
2015,"160704",1,44,6724.9,6.54284822079139
2015,"160705",0,1850,9422.6,196.336467641628
2015,"160705",1,482,9422.6,51.15360940717
2015,"160706",0,4151,8761,473.80436023285
2015,"160706",1,3638,8761,415.249400753339
2015,"160801",0,1029,4136.3,248.773058047047
2015,"160801",1,75,4136.3,18.1321470879772
